Snake,Species,Genotype,MAMU,County,Longitude,Latitude,SVLmm,BodMassg,Sex,Date_Experimented,Date_Collected,Days_in_Between,Rater (M1),Rater (M2),Rater (M3),Rater (M4),Rater (M5),Rater (M6),Rater (M7),Rater (M8),Rater (M9),Rater (M10),Rater (M11),Rater (M12),Rater (M13)
CRF3605,atratus,WT,0.848,Siskiyou,-121.94444,41.25039,415,25,M,3-Jul-20,5-Jun-20,28,REdC,REdC,REdC,REdC,,,,,,,,,
CRF3606,atratus,WT,0.87,Siskiyou,-121.94444,41.25039,340,15,,5-Jul-20,5-Jun-20,30,REdC,REdC,,,,,,,,,,,
CRF3607,atratus,WT,1.68,Siskiyou,-121.94444,41.25039,600,133,F,5-Jul-20,5-Jun-20,30,REdC,REdC,,,,,,,,,,,
CRF3608,atratus,WT,0.92,Siskiyou,-121.94444,41.25039,350,18,,9-Jul-20,5-Jun-20,34,REdC,,,REdC,,,,,,,,,
CRF3609,atratus,WT,1.8,Siskiyou,-121.94444,41.25039,570,62,M,9-Jul-20,5-Jun-20,34,REdC,REdC,REdC,REdC,,,,,,,,,
CRF3610,atratus,WT,1.8,Siskiyou,-121.94444,41.25039,690,54,,7-Aug-20,5-Jun-20,63,REdC,REdC,,,,,,,,,,,
CRF3611,atratus,WT,1.15,Siskiyou,-121.94444,41.25039,560,93,F,14-Jul-20,5-Jun-20,39,REdC,REdC,,REdC,,,,,,,,,
CRF3613,atratus,WT,0.86,Shasta,-122.09245,41.15706,445,26,M,13-Aug-20,5-Jun-20,69,REdC,REdC,,,,,,,,,,,
CRF3614,atratus,WT,1.03,Shasta,-122.09245,41.15706,550,95,,15-Jul-20,5-Jun-20,40,REdC,REdC,REdC,REdC,,,,,,,,,
CRF3615,atratus,WT,1.79,Shasta,-122.09245,41.15706,570,94,F,16-Jul-20,5-Jun-20,41,REdC,REdC,,REdC,,,,,,,,,
CRF3617,atratus,WT,0.98,Siskiyou,-122.38249,41.23005,415,31,,24-Aug-20,5-Jun-20,80,JMM,REdC,REdC,,,,,,,,,,
CRF3618,atratus,WT,1.85,Siskiyou,-122.38249,41.23005,455,40,,25-Aug-20,5-Jun-20,81,REdC,REdC,REdC,,,,,,,,,,
CRF3619,atratus,WT,1.6,Siskiyou,-122.38249,41.23005,570,72,M,27-Aug-20,5-Jun-20,83,REdC,,,REdC,,,,,,,,,
CRF3620,atratus,WT,1.56,Siskiyou,-122.38249,41.23005,510,60,,29-Aug-20,5-Jun-20,85,REdC,REdC,REdC,,,,,,,,,,
CRF3621,atratus,WT,1.89,Siskiyou,-122.38249,41.23005,630,63,M,12-Aug-20,5-Jun-20,68,REdC,REdC,REdC,,,,,,,,,,
CRF3111,atratus,EPN,250,Santa Cruz,-122.2777,37.09632,,16.6,,11-Oct-16,28-Aug-16,44,JSR,JSR,,,,,,,,,,,
CRF3112,atratus,EPN,250,Santa Cruz,-122.2777,37.09632,,28.4,,14-Oct-16,28-Aug-16,47,REdC,REdC,,,,,,,,,,,
EJE125,atratus,EPN,250,Alameda ,-121.5122222,36.4528111,,63.6,,2-Jul-15,24-May-16,,REdC,REdC,KL,,,,,,,,,,
EJE126,atratus,EPN,250,Alameda ,-121.5111111,36.43436944,,56.6,,3-Jul-15,24-May-16,,REdC,REdC,,,,,,,,,,,
JSR012,atratus,EPN,,Santa Cruz,-122.2269444,37.04194444,450,43,M,31-Aug-20,26-Jul-20,36,REdC,REdC,REdC,REdC,,,,,,,,,
JSR013,atratus,EPN,,Santa Cruz,-122.2269444,37.04194444,600,106,F,3-Sep-20,26-Jul-20,39,REdC,REdC,REdC,REdC,,,,,,,,,
JSR037,atratus,EPN,,Santa Cruz,-122.2766667,37.13388889,580,101,F,5-Sep-20,26-Jul-20,41,REdC,REdC,REdC,,,,,,,,,,
EJE191,sirtalis,WT,4.5,Nevada,-120.574986,39.522334,360,15,,22-May-17,7-Sep-16,257,REdC,REdC,REdC,JMM,JMM,,,,,,,,
EJE190,sirtalis,WT,2.9,Nevada,-120.574986,39.522334,260,9,,24-May-17,31-Aug-16,266,REdC,REdC,REdC,REdC,,,,,,,,,
REdC4,sirtalis,WT,3.7,Mendocino,-123.63421,39.74717,510,76,F,28-May-17,30-May-16,363,REdC,REdC,JMM,,,,,,,,,,
REdC10,sirtalis,WT,37.7,Mendocino,-123.63421,39.74717,480,36,F,11-Jun-17,30-May-16,377,REdC,REdC,REdC,JMM,,,,,,,,,
MTJH399,sirtalis,WT,2.54,Humboldt,-124.10523,41.224985,,,F,23-Sep-18,20-Jun-17,460,JMM,,,,,,,,,,,,
MTJH430,sirtalis,WT,17.4,Lane,-123.98241,44.21357,,,F,12-Sep-18,20-Jun-17,449,,,,,,,,,,,,,
MTJH402,sirtalis,WT,10.56,Humboldt,-124.10523,41.224985,,,F,16-Sep-18,20-Jun-17,453,JMM,,,,,,,,,,,,
MTJH394,sirtalis,WT,2.43,Humboldt,-124.10523,41.224985,420,23.34,M,30-Dec-18,20-Jun-17,558,JMM,JMM,REdC,REdC,REdC,,,,,,,,
MTJH390,sirtalis,WT,2.4,Humboldt,-124.10523,41.224985,500,47.5,F,23-Dec-18,20-Jun-17,551,JMM,JMM,JMM,REdC,REdC,REdC,,,,,,,
REdC1,sirtalis,LVNV,250,Mendocino,-123.08163,39.03175,500,49,M,25-May-17,20-May-16,370,REdC,REdC,JMM,REdC,,,,,,,,,
REdC2,sirtalis,LVNV,250,Mendocino,-123.08163,39.03175,540,70,M,26-May-17,20-May-16,371,REdC,REdC,REdC,,,,,,,,,,
REdC5,sirtalis,LVNV,250,Mendocino,-123.08163,39.03175,460,49,M,28-May-17,20-May-16,373,REdC,REdC,JMM,,,,,,,,,,
REdC6,sirtalis,LVNV,250,Mendocino,-123.08163,39.03175,510,54,M,9-Jun-17,20-May-16,385,REdC,REdC,,,,,,,,,,,
REdC7,sirtalis,LVNV,250,Sonoma,-122.59699,38.41003,500,78,F,29-May-17,26-Apr-16,398,REdC,REdC,,,,,,,,,,,
REdC8,sirtalis,LVNV,250,Mendocino,-123.08163,39.03175,480,47,,23-May-17,20-May-16,368,REdC,REdC,REdC,,,,,,,,,,
REdC9,sirtalis,LVNV,250,Mendocino,-123.08163,39.03175,510,50,M,11-Jun-17,20-May-16,387,REdC,REdC,JMM,,,,,,,,,,
REdC3,sirtalis,LVNV,250,Napa,-122.42317,38.871672,460,56,,27-May-17,13-May-16,379,REdC,REdC,,,,,,,,,,,
REdC11,sirtalis,LVNV,250,Napa,-122.28353,38.75188,500,57,F,13-Jun-17,13-May-16,396,REdC,REdC,JMM,,,,,,,,,,